#options: 1920x1152 fps=60/1 timebase=1/60 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=9 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=10000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=12000 vbv_bufsize=15000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:28.23 aq:13.00 tex:8607 mv:3826 misc:6519 imb:8640 pmb:0 smb:0 d:- ref:;
in:9 out:1 type:P dur:2 cpbdur:2 q:28.21 aq:14.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:4 out:2 type:B dur:2 cpbdur:2 q:28.23 aq:15.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:2 out:4 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:3 out:5 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:5 out:6 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:6 out:7 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:28.23 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:15 out:10 type:P dur:2 cpbdur:2 q:27.60 aq:14.00 tex:0 mv:0 misc:440 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:12 out:11 type:B dur:2 cpbdur:2 q:28.20 aq:16.00 tex:0 mv:0 misc:432 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:10 out:12 type:b dur:2 cpbdur:2 q:28.21 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:11 out:13 type:b dur:2 cpbdur:2 q:28.20 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:13 out:14 type:b dur:2 cpbdur:2 q:28.20 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:14 out:15 type:b dur:2 cpbdur:2 q:28.20 aq:18.00 tex:0 mv:0 misc:416 imb:0 pmb:0 smb:8640 d:- ref:0 ;
in:19 out:16 type:P dur:2 cpbdur:2 q:27.17 aq:15.84 tex:5530 mv:1718 misc:648 imb:366 pmb:18 smb:8256 d:- ref:0 ;
in:17 out:17 type:B dur:2 cpbdur:2 q:27.59 aq:17.13 tex:2129 mv:1894 misc:825 imb:91 pmb:178 smb:8371 d:s ref:0 ;
